,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
847,8.2g,416kcal,30.2g,26.1g,4.0g,2.0g,14.7g,11.2g,,Cooks' Ingredients herby zaatar,,,,,,,,,,,,,,,,,,,,,,,,
848,,,,,,,,,,Bart Cumin Seeds,,,,,,,,,,,,,,,,,,,,,,,,
849,71.6g,389kcal,4.2g,14.1g,2.6g,3.4g,9.0g,0.07g,,Cooks' Ingredients ground ginger,,,,,,,,,,,,,,,,,,,,,,,,
850,<0.5g,5kcal,<0.5g,<0.5g,0.2g,<0.5g,<0.5g,0.8g,,Knorr beef stock pot,,,,,,,,,,,,,,,,,,,,,,,,
851,,,,,,,,,,Bart ground cumin,,,,,,,,,,,,,,,,,,,,,,,,
852,<0.5g,7kcal,0.6g,<0.5g,0.4g,<0.5g,<0.5g,0.96g,,Knorr The Vegetable Cube 20s,,,,,,,,,,,,,,,,,,,,,,,,
853,29.4g,376kcal,17.3g,27.2g,3.3g,10.3g,12.0g,0.10g,,Cooks' Ingredients Hot Chilli Flakes,,,,,,,,,,,,,,,,,,,,,,,,
854,23.7g,289kcal,7.9g,37.9g,2.8g,3.0g,11.9g,0.20g,,Cooks' Ingredients mixed herbs,,,,,,,,,,,,,,,,,,,,,,,,
855,35.7g,265kcal,4.9g,4.2g,2.4g,2.2g,17.4g,30.70g,,Oxo 24 Stock Cubes Beef,,,,,,,,,,,,,,,,,,,,,,,,
856,37.6g,195kcal,2.6g,,0.4g,3.6g,4.0g,48.3g,,Marigold Swiss Vegetable Vegan Bouillon Powder,,,,,,,,,,,,,,,,,,,,,,,,
857,<0.5g,5kcal,<0.5g,<0.5g,0.1g,<0.5g,<0.5g,0.78g,,Knorr vegetable stock pot,,,,,,,,,,,,,,,,,,,,,,,,
858,,,,,,,,,,Bart fennel seeds,,,,,,,,,,,,,,,,,,,,,,,,
859,,,,,,,,,,Tidman's natural rock salt,,,,,,,,,,,,,,,,,,,,,,,,
860,29.5g,329kcal,11.5g,,1.5g,2.0g,11.5g,0.10g,,Bart medium curry powder,,,,,,,,,,,,,,,,,,,,,,,,
861,,,,,,,,,,Bart bay leaves,,,,,,,,,,,,,,,,,,,,,,,,
862,,,,,,,,,,Bart chilli flakes,,,,,,,,,,,,,,,,,,,,,,,,
863,80.5g,455kcal,1.2g,53.1g,0.3g,2.2g,4.0g,0.0g,,Cooks' ingredients cinnamon sticks,,,,,,,,,,,,,,,,,,,,,,,,
864,55.0g,513kcal,17.8g,41.9g,1.0g,0.0g,12.4g,0.09g,,Cooks' Ingredients ground coriander,,,,,,,,,,,,,,,,,,,,,,,,
865,68.9g,435kcal,4.3g,42.5g,1.6g,4.1g,9.0g,0.63g,,Cooks' Ingredients oregano,,,,,,,,,,,,,,,,,,,,,,,,
866,29.0g,290kcal,6.6g,34.1g,2.4g,3.1g,11.7g,0.20g,,Cooks' Ingredients Italian seasoning,,,,,,,,,,,,,,,,,,,,,,,,
867,,,,,,,,,,Bart tarragon,,,,,,,,,,,,,,,,,,,,,,,,
868,68.1g,350kcal,6.5g,0.9g,3.4g,2.1g,4.2g,12.59g,,Bisto Best Beef Gravy Granules,,,,,,,,,,,,,,,,,,,,,,,,
869,,,,,,,,,,Bart paprika,,,,,,,,,,,,,,,,,,,,,,,,
870,,,,,,,,,,Bart Garlic Granules,,,,,,,,,,,,,,,,,,,,,,,,
871,18.3g,324kcal,13.0g,37.4g,2.1g,10.3g,14.8g,0.09g,,Cooks' Ingredients smoked paprika,,,,,,,,,,,,,,,,,,,,,,,,
872,,,,,,,,,,Bart Fairtrade black peppercorns refill,,,,,,,,,,,,,,,,,,,,,,,,
873,41.6g,298kcal,5.1g,6.5g,2.5g,9.6g,18.2g,21.28g,,Oxo 12 Reduced Salt Beef Cubes,,,,,,,,,,,,,,,,,,,,,,,,
874,,,,,,,,,,Bart coriander seeds,,,,,,,,,,,,,,,,,,,,,,,,
875,,,,,,,,,,Bart Fairtrade ground turmeric,,,,,,,,,,,,,,,,,,,,,,,,
876,0.6g,7kcal,0.5g,,0.3g,0.1g,0.1g,0.9g,,Kallo Organic Umami 6 Stock Cubes,,,,,,,,,,,,,,,,,,,,,,,,
877,,,,,,,,,,Bart ground coriander,,,,,,,,,,,,,,,,,,,,,,,,
878,48.7g,353kcal,8.4g,26.3g,2.3g,0.0g,7.6g,0.06g,,Cooks' ingredients wild oregano,,,,,,,,,,,,,,,,,,,,,,,,
879,,,,,,,,,,Bart Fairtrade ground ginger,,,,,,,,,,,,,,,,,,,,,,,,
880,29.1g,298kcal,7.2g,33.9g,2.2g,2.6g,12.2g,0.30g,,Cooks' Ingredients bouquet garni,,,,,,,,,,,,,,,,,,,,,,,,
881,,,,,,,,,,Bart Chinese five spice,,,,,,,,,,,,,,,,,,,,,,,,
882,74.4g,466kcal,18.7g,<0.5g,13.2g,2.7g,<0.5g,0.02g,,McDougalls thickening granules,,,,,,,,,,,,,,,,,,,,,,,,
883,63.9g,433kcal,7.4g,37.0g,2.7g,1.7g,9.1g,0.13g,,Cooks' Ingredients thyme,,,,,,,,,,,,,,,,,,,,,,,,
884,32.2g,362kcal,14.7g,,5.5g,2.9g,12.0g,0.10g,,Bart mild curry powder,,,,,,,,,,,,,,,,,,,,,,,,
885,,,,,,,,,,Bart cayenne pepper,,,,,,,,,,,,,,,,,,,,,,,,
886,54.0g,458kcal,12.9g,34.9g,2.1g,10.3g,14.1g,0.17g,,Cooks' Ingredients ground paprika,,,,,,,,,,,,,,,,,,,,,,,,
887,0.0g,824kcal,91.6g,0.0g,14.0g,0.0g,0.0g,0.0g,,Waitrose extra virgin olive oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
888,0g,1kcal,0.1g,,0g,0g,0g,0g,,Fry Light Extra Virgin Olive Oil Spray,,,,,,,,,,,,,,,,,,,,,,,,
889,0g,822kcal,91.4g,0g,12.8g,0g,0g,0g,,La Española Extra Virgin Olive Oil,,,,,,,,,,,,,,,,8.2g,,,,,,,,
890,0g,828kcal,92.0g,0g,10.1g,0g,0g,0g,,Essential Sunflower Oil,,,,,,,,,,,,,,,,,,,,,,,,
891,0.0g,823kcal,91.4g,0.0g,13.1g,0.0g,0.0g,0.0g,,Essential Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
892,0.0g,900kcal,100.0g,0.0g,7.3g,0.0g,0.0g,0.0g,,Essential Vegetable Oil,,,,,,,,,,,,,,,,,,,,,,,,
893,<0.5g,823kcal,91.5g,<0.5g,13.1g,<0.5g,<0.5g,<0.01g,,La Española Extra Virgin,,,,,,,,,,,,,,,,7.5g,,,,,,,,
894,0g,824kcal,91.5g,,13g,0g,0g,0g,,Gaea Kalamata Olive Oil Extra Virgin,,,,,,,,,,,,,,,,,,,,,,,,
895,0g,827kcal,91.9g,0g,13.4g,0g,0g,0g,,Waitrose Toasted Sesame Oil,,,,,,,,,,,,,,,,39.9g,,,,,,,,
896,0.9g,819kcal,90.4g,,6.0g,<0.5g,0.7g,0.15g,,Farrington's Mellow Yellow Rapeseed Oil,,,,,,,,,,,,,,,,24.7g,,,,8.5g,,,,
897,<0.5g,819kcal,91g,,15g,<0.5g,<0.5g,0g,,Lee Kum Kee Pure Sesame Oil,,,,,,,,,,,,,,,,,,,,,,,,
898,,,,,,,,,,Sarson's distilled malt vinegar,,,,,,,,,,,,,,,,,,,,,,,,
899,0g,824kcal,91.6g,0g,14.0g,0g,0g,0g,,Waitrose Extra Virgin Olive Oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
900,0.0g,824kcal,91.6g,0.0g,14.0g,0.0g,0.0g,0.0g,,Waitrose Organic 100% Italian Extra Virgin Olive Oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
901,<0.5g,21kcal,<0.5g,0.0g,0.0g,<0.5g,<0.5g,0.02g,,Essential White Wine Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
902,,,,,,,,,,Sarson's Malt Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
903,3.2g,29kcal,0.01g,,Trace,3.2g,0.03g,,<0.1mg,Willy's Apple Cider Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
904,0.0g,828kcal,92.0g,0.0g,7.1g,0.0g,0.0g,0.0g,,Waitrose Leckford Estate cold pressed rapeseed oil,,,,,,,,,,,,,,,,27.7g,,,,,,,,
905,30.0g,125kcal,0.0g,0.5g,0.0g,28.0g,1.0g,0.05g,,Essential Balsamic Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
906,0g,1kcal,0.1g,,0g,0g,0g,0g,,Fry Light Sunflower Oil Spray,,,,,,,,,,,,,,,,,,,,,,,,
907,5.0g,676kcal,70g,,12g,2.1g,3.3g,6.9g,,Lee Kum Kee Chiu Chow Chilli Oil,,,,,,,,,,,,,,,,,,,,,,,,
908,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio olive oil extra virgin,,,,,,,,,,,,,,,,10.7g,,,,,,,,
909,0g,828kcal,92.0g,0g,10.1g,0g,0g,0g,,Essential Sunflower Oil,,,,,,,,,,,,,,,,,,,,,,,,
910,0.0g,767kcal,92.5g,,86.6g,0.0g,0.0g,0.0g,,Groovy Food Virgin Coconut Oil,,,,,,,,,,,,,,,,,,,,,,,,
911,0.0g,823kcal,91.4g,0.0g,13.1g,0.0g,0.0g,0.0g,,Essential Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
912,0.0g,823kcal,91.4g,0.0g,13.1g,0.0g,0.0g,0.0g,,Essential Light in Colour Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
913,60.4g,262kcal,0.0g,,0.0g,60.4g,0.4g,0.1g,,Belazu Balsamic Vinegar of Modena 1.25 Density,,,,,,,,,,,,,,,,,,,,,,,,
914,0g,825kcal,91.7g,0g,7.3g,0g,0g,0g,,Crisp'n dry Rapeseed Oil,,,,,,,,,,,,,,,,26.6g,,,,9.2g,,,,
915,0.0g,824kcal,91.6g,0.0g,15.7g,0.0g,0.0g,0.0g,,Waitrose groundnut oil,,,,,,,,,,,,,,,,16.9g,,,,,,,,
916,58.0g,239kcal,0.0g,0.5g,0.0g,42.0g,1.4g,0.08g,,Waitrose Glaze balsamic vinegar,,,,,,,,,,,,,,,,,,,,,,,,
917,<0.1g,17kcal,Trace,,Trace,<0.1g,<0.1g,0.03g,,Aspall Raw Apple Cyder Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
918,<0.5g,823kcal,91.5g,<0.5g,13.1g,<0.5g,<0.5g,<0.01g,,La Española Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
919,,823kcal,91.4g,,13.1g,,,,,Waitrose Garlic Olive Oil,,,,,,,,,,,,,,,,,,,,,7.5g,,,
920,39.0g,245kcal,0.5g,0.5g,0.1g,30.5g,0.0g,0.03g,,Cooks' Ingredients Mirin Rice Wine,,,,,,,,,,,,,,,,,,,,,,,,
921,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio Extra Virgin Olive Oil,,,,,,,,,,,,,,,,10.7g,,,,,,,,
922,0g,828kcal,92g,,10.1g,0g,0g,0g,,Flora sunflower oil,,,,,,,,,,60mg,,,,,,56.1g,,,,,,,,
923,0.0g,900kcal,100.0g,0.0g,7.3g,0.0g,0.0g,0.0g,,Essential Vegetable Oil,,,,,,,,,,,,,,,,,,,,,,,,
924,0.0g,823kcal,91.4g,,14.4g,0.0g,0.0g,0.0g,,Belazu Cornicabra Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
925,<0.5g,20kcal,<0.5g,<0.5g,0.1g,<0.5g,<0.5g,0.0g,,Essential Malt Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
926,<0.5g,18kcal,<0.5g,<0.5g,0.0g,<0.5g,<0.5g,0.10g,,Essential Cider Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
927,<0.5g,22kcal,<0.5g,<0.5g,0.0g,<0.5g,<0.5g,0.10g,,Essential Red Wine Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
928,0g,822kcal,91.3g,,14g,0g,0g,0g,,Filippo Berio Garlic Flavoured Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
929,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio olive oil mild & light,,,,,,,,,,,,,,,,9.7g,,,,,,,,
930,48.0g,197kcal,0.0g,0.5g,0.0g,37.0g,1.0g,0.10g,,Waitrose Duchy Balsamic Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
931,0g,822kcal,91.3g,,15.5g,0g,0g,0g,,Filippo Berio Chilli Flavoured Olive Oil,,,,,,,,,,,,,,,,9.7g,,,,,,,,
932,0.2g,23kcal,0.0g,,0.0g,0.2g,0.1g,0.0g,,Belazu Reserva Sherry Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
933,0g,824kcal,91.6g,0g,14.0g,0g,0g,0g,,Waitrose extra virgin olive oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
934,0g,824kcal,"91,6g",,"14,0g",0g,0g,"0,0g",,Olio del Castello olive oil extra virgin,,,,,,,,,,,,,,,,,,,,,,,,
935,0.0g,828kcal,92.0g,0.0g,10.6g,0.0g,0.0g,0.0g,,Essential Sunflower & Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
936,,,,,,,,,,Sarson's malt vinegar,,,,,,,,,,,,,,,,,,,,,,,,
937,1.4g,893kcal,98.6g,,6.6g,<0.5g,<0.5g,0.4g,,Mellow Yellow Chilli Oil,,,,,,,,,,,,,,,,26.5g,,,,9g,,,,
938,0.4g,42kcal,0.4g,0.5g,0.1g,0.1g,0.2g,0.03g,,Monte Bello White Cooking Wine,,,,,,,,,,,,,,,,,,,,,,,,
939,0.4g,45kcal,0.4g,0.5g,0.1g,0.1g,0.8g,0.03g,,Monte Bello Red Cooking Wine,,,,,,,,,,,,,,,,,,,,,,,,
940,0.0g,823kcal,91.4g,0.0g,13.1g,0.0g,0.0g,0.0g,,Essential Light in Colour Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
941,0.7g,19kcal,Trace,,Trace,<0.4g,Trace,0.01g,,Aspall cyder vinegar,,,,,,,,,,,,,,,,,,,,,,,,
942,4.9g,128kcal,0.5g,0.5g,0.1g,2.0g,0.5g,0.03g,,Cooks' Ingredients Shaoxing Rice Wine,,,,,,,,,,,,,,,,,,,,,,,,
943,0.6g,21kcal,Trace,Trace,Trace,<0.4g,Trace,0.01g,,Aspall white wine vinegar,,,,,,,,,,,,,,,,,,,,,,,,
944,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,"Filippo Berio Olive Oil, Mild & Light in Colour",,,,,,,,,,,,,,,,9.7g,,,,,,,,
945,0g,3370kJ,9.1g,,13g,,0g,0mg,,Olivado fairtrade avocado oil,,,,,,,,,,1.6mg,,,,,,,,,,,10g,0g,,
946,0g,832kcal,92.4g,0g,8.4g,0g,0g,0g,,Waitrose Walnut Oil,,,,,,,,,,,,,,,,64.6g,,,,,,,,
947,0g,829kcal,92.1g,0g,12.4g,0g,0g,0g,,Mazola pure corn oil,,,,,,,,,,,,,,,,52.5g,,,,,,,,
948,,823kcal,91.4g,,13.1g,,,,,Waitrose Chilli Olive Oil,,,,,,,,,,,,,,,,,,,,,7.5g,,,
949,0.0g,824kcal,91.6g,0.0g,14.0g,0.0g,0.0g,0.0g,,Waitrose 100% Italian olive oil,,,,,,,,,,,,,,,,,,,,,,,,
950,0.9g,23kcal,Trace,Trace,Trace,<0.4g,Trace,0.01g,,Aspall Organic Red Wine Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
951,39.9g,182kcal,<0.5g,0.6g,0.1g,36.4g,<0.5g,<0.01g,,OSU Apple Cider Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
952,0g,824kcal,91.5g,,13g,0g,0g,0g,,Gaea Fresh Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
953,,813kcal,92g,,21g,,,,,Alfa One 100% pure rice bran oil,,,,,,,,,,12mg,,,,,,32g,,,,,,,,
954,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio olive oil extra virgin,,,,,,,,,,,,,,,,10.7g,,,,,,,,
955,0g,824kcal,91.6g,0g,14.0g,0g,0g,0g,,Waitrose 100% Greek olive oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
956,1.0g,10kcal,0.5g,0.5g,0.1g,<0.5g,<0.5g,0.09g,,Cooks' Ingredients Chinese Rice Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
957,0.0g,823kcal,91.4g,0.0g,13.1g,0.0g,0.0g,0.0g,,Essential Olive Oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
958,90.0g,387kcal,0.0g,,0.0g,49.0g,1.9g,0.1g,,Belazu Balsamic Vinegar of Modena,,,,,,,,,,,,,,,,,,,,,,,,
959,,823kcal,91.4g,,13.1g,,,,,Waitrose Lemon Olive Oil,,,,,,,,,,,,,,,,,,,,,7.5g,,,
960,0.0g,823kcal,91.4g,,14.4g,0.0g,0.0g,0.0g,,Belazu Verdemanda,,,,,,,,,,,,,,,,,,,,,,,,
961,39.1g,177kcal,<0.5g,0.6g,0.2g,35.4g,<0.5g,0.0g,,"OSU Apple Cider Vinegar, Blueberry & Pomegranate",,,,,,,,,,,,,,,,,,,,,,,,
962,82.5g,355kcal,0.0g,,0.0g,82.5g,1.3g,0.1g,,Belazu 1.34 Balsamic Vinegar of Modena,,,,,,,,,,,,,,,,,,,,,,,,
963,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio Extra Virgin Olive Oil,,,,,,,,,,,,,,,,10.7g,,,,,,,,
964,0g,824kcal,91.6g,0g,14.0g,0g,0g,0g,,Waitrose 100% Spanish extra virgin olive oil,,,,,,,,,,,,,,,,8.0g,,,,,,,,
965,0g,824kcal,91.5g,,13g,0g,0g,0g,,Gaea Planet Organic Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
966,1.0g,10kcal,0.5g,0.5g,0.1g,0.9g,<0.5g,0.63g,,Cooks' Ingredients Japanese Vinegar,,,,,,,,,,,,,,,,,,,,,,,,
967,0.0g,828kcal,92.0g,0.0g,7.1g,0.0g,0.0g,0.0g,,Leckford Estate Rapeseed Oil,,,,,,,,,,,,,,,,27.7g,,,,,,,,
968,0g,823kcal,91.4g,0g,13.1g,0g,0g,0g,,Waitrose basil infused olive oil,,,,,,,,,,,,,,,,7.5g,,,,,,,,
969,0g,824kcal,"91,6g",,"14,0g",0g,0g,0g,,Farchioni Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
970,0g,832kcal,92.4g,0g,10.4g,0g,0g,0g,,Waitrose Grapeseed Oil,,,,,,,,,,,,,,,,58.9g,,,,,,,,
971,Trace,1kcal,0.08g,,0.011g,0.0g,Trace,0.0g,,The Groovy Food Co. Extra Virgin Olive Oil Cooking Spray,,,,,,,,,,,,,,,,0.01g,,,,,,,,
972,42.0g,169kcal,0g,0g,0g,42.0g,0.2g,<0.01g,,Waitrose Balsamic Vinegar of Modena,,,,,,,,,,,,,,,,,,,,,,,,
973,0g,896kcal,99.5g,0g,14.5g,0g,0g,0g,,Cooks' Ingredients Drizzle of Truffle,,,,,,,,,,,,,,,,,,,,,,,,
974,0g,822kcal,91.3g,0g,15.1g,0g,0g,0g,,Filippo Berio extra virgin olive oil,,,,,,,,,,,,,,,,10.0g,,,,,,,,
975,Trace,1kcal,0.1g,,0.01g,0.0g,Trace,0.0g,,The Groovy Food Co. Sunflower Oil Cooking Spray,,,,,,,,,,,,,,,,0.05g,,,,,,,,
976,0g,822kcal,91.4g,0g,12.8g,0g,0g,0g,,La Espanola Truffle olive Oil,,,,,,,,,,,,,,,,8.2g,,,,,,,,
977,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio Classico Olive Oil,,,,,,,,,,,,,,,,9.7g,,,,,,,,
978,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio Classic Olive Oil,,,,,,,,,,,,,,,,9.7g,,,,,,,,
979,1.9g,812kcal,89.8g,,5.7g,<0.5g,<0.5g,0.1g,,Farrington's Mellow Yellow Oak Smoked Rapeseed Oil,,,,,,,,,,,,,,,,25.2g,,,,9.4g,,,,
980,55g,245kcal,0g,,0g),51g),1.1g,0.12g,,Mazzetti Balsamic Vinegar of Modena Medium,,,,,,,,,,,,,,,,,,,,,,,,
981,0g,822kcal,91.3g,0g,15.5g,0g,0g,0g,,Filippo Berio Classic Olive Oil,,,,,,,,,,,,,,,,9.7g,,,,,,,,
982,0g,829kcal,92.1g,0g,10.5g,0g,0g,0g,,Waitrose wok oil,,,,,,,,,,,,,,,,51.2g,,,,,,,,
983,0.0g,823kcal,91.4g,,14.4g,0.0g,0.0g,0.0g,,Belazu Early Harvest Extra Virgin Olive Oil,,,,,,,,,,,,,,,,,,,,,,,,
984,0g,3700kJ,100g,0g,9.4g,0g,0g,Trace,,Good Hemp Oil,,,,,,,,,,,,,,,,77.9g,,,,18.6g,,,57.7g,
985,23.2g,102kcal,0.1g,,Trace,22.8g,1.2g,1.8g,,Heinz Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
986,12g,64kcal,0.1g,,0g,11g,1.4g,0.90g,,Heinz Tomato Ketchup 50% Less Sugar/Salt,,,,,,,,,,,,,,,,,,,,,,,,
987,27.4g,120kcal,0.1g,,0.0g,19.6g,1.7g,1.7g,,Stokes real tomato ketchup,,,,,,,,,,,,,,,,,,,,,,,,
988,23.4g,103kcal,<0.5g,1.4g,0.1g,21.5g,1.2g,1.5g,,Essential Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
989,1.1g,13kcal,0.2g,,0.0g,0.1g,1.3g,13.3g,,Geo Watkins mushroom ketchup,,,,,,,,,,,,,,,,,,,,,,,,
990,23.2g,102kcal,0.1g,,Trace,22.8g,1.2g,1.8g,,Heinz Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
991,23.2g,102kcal,0.1g,,Trace,22.8g,1.2g,1.8g,,Heinz tomato ketchup,,,,,,,,,,,,,,,,,,,,,,,,
992,41g,182kcal,0g,,0g,31g,1.5g,1.2g,,Wilkin & Sons Tiptree tomato sauce,,,,,,,,,,,,,,,,,,,,,,,,
993,25.3g,112kcal,,,0.1g,24.8g,1.4g,1.7g,,Heinz tomato ketchup,,,,,,,,,,,,,,,,,,,,,,,,
994,21g,"97,2kcal",0g,,0g,21g,2g,2.1g,,Rubies Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
995,19.0,95kcal,0.3,,0.1,16.5,2.5,0.7,,Dr Will's Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
996,5.4g,44kcal,0.1g,,0g,4.4g,1.6g,0.05g,,Heinz No Added Sugar Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
997,19.5g,92kcal,0.3g,1.4g,0.1g,15.9g,2.2g,2.1g,,Mr Organic Italian Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
998,25.4g,110kcal,0.2g,,0.0g,22.0g,1.3g,1.4g,,Stokes Bloody Mary Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
999,17.2g,77kcal,<0.5g,0.6g,0.0g,13.4g,1.5g,0.78g,,Essential Reduced Sugar & Salt Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
1000,23.2g,102kcal,0.1g,,Trace,22.8g,1.2g,1.8g,,Heinz Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
1001,12g,64kcal,0.1g,,0g,11g,1.4g,0.90g,,Heinz 50% Less Sugar &Salt Tomato Ketchup,,,,,,,,,,,,,,,,,,,,,,,,
1002,12g,64kcal,0.1g,,0g,11g,1.4g,0.90g,,Heinz Tomato Ketchup 50% Less Sugar &Salt,,,,,,,,,,,,,,,,,,,,,,,,
1003,8.6g,188kcal,16.3g,2.0g,1.8g,7.3g,1.2g,0.02g,,Tanya's Just Real Fiery Fiasco Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1004,28.3g,122kcal,,,Trace,23.1g,0.9g,1.3g,,HP Original Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1005,28.3g,122kcal,,0.4g,Trace,23.1g,0.9g,1.3g,0.5g,HP original sauce,,,,,,,,,,,,,,,,,,,,,,,,
1006,45.7g,194kcal,0.3g,,0.0g,37.5g,1.4g,0.8g,,Stokes Real Brown Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1007,27.4g,114kcal,<0.5g,<0.5g,0.1g,24.8g,<0.5g,1.1g,,Essential Squeezy Brown Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1008,28.3g,122kcal,,,Trace,23.1g,0.9g,1.3g,,HP original sauce,,,,,,,,,,,,,,,,,,,,,,,,
1009,19.5g,86kcal,,,Trace,15.4g,0.7g,0.9g,,HP Sauce Reduced Salt & Sugar,,,,,,,,,,,,,,,,,,,,,,,,
1010,28.3g,122kcal,,,Trace,23.1g,0.9g,1.3g,,HP Original Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1011,8.0g,267kcal,26g,,2.5g,3.0g,0.6g,1.7g,,Heinz Seriously Good Light Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1012,6g,264kcal,26g,,2.6g,2.3g,<0.5g,1.7g,,Hellmann's Light Mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,,
1013,1.3g,721kcal,79g,,6.2g,1.3g,1.1g,1.5g,,Hellmann's Real Mayonnaise,,,,,,,,,,,,,,,,,,,,7g,,,,
1014,1.4g,726kcal,79g,,6.3g,1.3g,1.1g,1.5g,,Hellmann's Real Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1015,2.7g,742kcal,80.6g,,6.5g,1.6g,1.5g,0.6g,,Stokes real mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1016,3.3g,694kcal,75.1g,0.0g,5.3g,1.4g,1.3g,0.87g,,Essential Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1017,1.4g,726kcal,79g,,6.3g,1.3g,1.1g,1.5g,,Hellmann's Real Mayonnaise,,,,,,,,,,,,,,,,,,,,6.3g,,,,
1018,16.8g,185kcal,11.8g,1.9g,4.4g,10.3g,1.9g,1.91g,,Yo! Creamy Coconut Katsu Curry Sauce,,,,,,,,,,,,,,,,,,,,,,,,
1019,6.1g,264kcal,26g,<0.5g,2.6g,2.3g,<0.5g,1.7g,,Hellmann's Light Mayonnaise,,,,,,,,,,,,,,,,,,,,2.3g,,,4.8g,
1020,2.0g,737kcal,80.2g,,5.5g,2.0g,1.5g,0.7g,,Stokes garlic mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1021,5.1g,717kcal,77.0g,0.0g,8.3g,1.9g,0.9g,0.76g,,Duchy Organic Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1022,1.3g,721kcal,79g,,6.2g,1.3g,1.1g,1.5g,,Hellmann's real mayonnaise,,,,,,,,,,,,,,,,,,,,7g,,,,
1023,10.4g,322kcal,30.7g,0.0g,2.2g,5.4g,1.0g,0.89g,,Essential Half Fat Mayonnaise,,,,,,,,,,,,,,,,,,,,,,,,
1024,13.0g,309kcal,28.0g,,2.0g,9.8g,0.3g,2.8g,,Nando's Perinaise Mild,,,,,,,,,,,,,,,,,,,,,,,,
