,Carbohydrate,Energy,Fat,Fibre,Of which Saturates,Of which Sugars,Protein,Salt,Sodium,product_name,Magnesium,Folic Acid,Of which Polyols,Calcium,Iron,Of which Starch,Vitamin C,Of which Cholesterol,Potassium,Vitamin E,Selenium,Iodine,box,label-glued,shrinkwrap,Of which Polyunsaturated,Niacin,Riboflavin,Thiamin,Omega 3,Polyunsaturates,Of which Trans,Omega 6,Omega 9
450,59.8g,522kcal,27.9g,2.2g,16.8g,58.8g,6.7g,0.17g,,Cooks' Ingredients Milk Chocolate Chips,,,,,,,,,,,,,,,,,,,,,,,,
451,11.0g,368kcal,21.0g,28.0g,13.0g,0.9g,20.0g,0.04g,,Menier 100% Cocoa Powder,,,,,,,,,,,,,,,,,,,,,,,,
452,56.1g,557kcal,33.0g,0.0g,20.2g,56.1g,8.6g,0.2g,,Menier Swiss White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
453,36g,580kcal,42g,10g,25g,29g,9.1g,0.08g,,Green & Black's Dark Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
454,57.8g,552kcal,34.6g,7.2g,20.5g,46.4g,5.9g,0g,,Menier Dark Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
455,57.4g,538kcal,30.4g,2.8g,18.4g,56.6g,7.3g,0.18g,,Menier Swiss Milk Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
456,57g,555kcal,34.1g,3.6g,20.1g,51.2g,6.7g,0.13g,,Menier Milk Chocolate Drops,,,,,,,,,,,,,,,,,,,,,,,,
457,48.0g,565kcal,36.0g,3.0g,21.5g,45.5g,9.8g,0.23g,,Green & Black's Milk Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
458,63.2g,528kcal,27.6g,0.0g,16.6g,62.8g,6.6g,0.19g,,Cooks' Ingredients White Choc Chips,,,,,,,,,,,,,,,,,,,,,,,,
459,34g,531kcal,37g,,22g,31g,8.5g,0.1g,,Lindt Cooking Chocolate Intense,,,,,,,,,,,,,,,,,,,,,,,,
460,60.0g,541kcal,30.5g,0.0g,19.3g,59.6g,6.5g,0.23g,,Cooks' Ingredients White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
461,51g,581kcal,38g,<0.1g,23g,51g,7.9g,0.26g,,Green & Black's White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,
462,54.2g,539kcal,32.0g,2.2g,19.2g,53.2g,7.5g,0.22g,,Cooks' Homebaking Milk Chunks,,,,,,,,,,,,,,,,,,,,,,,,
463,50g,533kcal,33g,,19g,50g,4.9g,0.08g,,Lindt Cooking Chocolate Smooth,,,,,,,,,,,,,,,,,,,,,,,,
464,37.7g,564kcal,39.6g,,24.1g,26.7g,9.2g,<0.1g,,Willie's Cacao 72% Chef's Drops,,,,,,,,,,,,,,,,,,,,,,,,
465,54.3g,535kcal,32.1g,6.2g,19.2g,52.2g,4.0g,0.01g,,Cooks' Homebaking Dark Chunks,,,,,,,,,,,,,,,,,,,,,,,,
466,61.6g,531kcal,28.3g,0.6g,17.2g,52.2g,7.1g,0.05g,,Cooks' Homebaking Dark Chocolate Curls,,,,,,,,,,,,,,,,,,,,,,,,
467,79.2g,438kcal,12.7g,0.5g,9.7g,68.5g,1.6g,0.20g,,Cooks' Homebaking Fudge Chunks,,,,,,,,,,,,,,,,,,,,,,,,
468,55g,533kcal,32g,,19g,37g,9.2g,60mg,,Guittard Milk Choc Baking Chips,,,,,,,,,,,,,,,,,,,,,,,,
