,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
109,19.0g,193kcal,8.7g,4.5g,1.3g,8.3g,0.59g,Waitrose Italian Macaroni Cheese,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,10.6g,96kcal,3.2g,1.8g,2.0g,5.6g,0.59g,Waitrose Classic Fish Pie,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,14.3g,131kcal,5.0g,0.9g,1.8g,6.5g,0.62g,Waitrose Chinese Singapore Noodles,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,12.7g,108kcal,2.6g,0.5g,3.1g,6.9g,0.81g,Waitrose Chinese Chicken Chow Mein,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,16.3g,151kcal,6.2g,2.8g,1.7g,7.1g,0.40g,Waitrose Italian Ham & Mushroom Tagliatelle,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,19.1g,140kcal,4.5g,1.9g,1.7g,5.4g,0.40g,Waitrose Italian Spaghetti Bolognese,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,9.0g,152kcal,9.3g,4.7g,1.5g,7.4g,0.71g,Charlie Bighams Fish Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,10.2g,87kcal,3.1g,1.3g,1.8g,4.2g,0.52g,Waitrose Classics Cottage Pie,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,9.6g,142kcal,8.6g,3.9g,2.8g,5.5g,0.51g,Waitrose Italian Spinach & Ricotta Cannelloni,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,15.9g,137kcal,4.7g,1.7g,1.7g,5.9g,0.38g,Waitrose Classic Chilli Con Carne with Rice,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,10.2g,107kcal,4.7g,2.4g,2.0g,5.5g,0.43g,Waitrose Classics Shepherd's Pie,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,21.5g,207kcal,9.1g,4.3g,1.7g,9.3g,0.61g,Waitrose Italian Macaroni Cheese with Bacon,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,9.8g,97kcal,3.7g,0.7g,1.5g,5.4g,0.36g,Waitrose Classic Chicken Hotpot,,1.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,16.9g,172kcal,8.3g,4.1g,1.2g,7.0g,0.44g,Waitrose Italian Spaghetti Carbonara,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,16.5g,150kcal,5.3g,1.8g,3.2g,8.6g,0.41g,Waitrose Italian Tuna Pasta Bake,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,15.3g,144kcal,4.9g,3.0g,1.9g,9.1g,0.45g,Waitrose Italian Chicken & Parmesan Fettuccine,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,9.5g,136kcal,8.2g,2.9g,2.0g,5.6g,0.47g,Waitrose Classics Sausage & Mash,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,15.5g,147kcal,6.0g,1.1g,3.0g,6.6g,0.43g,Waitrose Asian Chicken Pad Thai,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,10.7g,97kcal,3.7g,1.5g,1.7g,4.5g,0.55g,Waitrose Classics Cumberland Pie,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,18.0g,179kcal,7.6g,3.4g,2.0g,9.1g,0.55g,Waitrose Italian Beef Bolognese Pasta Bake,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,9.3g,170kcal,9.6g,4.5g,0.3g,11.1g,0.61g,Charlie Bigham's Cottage Pie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,7.7g,89kcal,3.6g,1.7g,1.7g,5.9g,0.35g,Waitrose Classics Liver & Bacon,,0.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,13.9g,106kcal,3.2g,0.5g,2.1g,4.4g,0.60g,Waitrose Italian Chilli Prawn Spaghetti,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,10.0g,159kcal,9.1g,4.6g,1.7g,7.9g,0.59g,Charlie Bighams Lasagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,12.8g,131kcal,6.0g,1.8g,2.7g,6.1g,0.34g,Waitrose Italian Spaghetti & Meatballs,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
