,Carbohydrate,Energy,Fat,Of which Saturates,Of which Sugars,Protein,Salt,product_name,Calcium,Fibre,Vitamin D,Vitamin B12,Riboflavin,Vitamin C,Thiamin,Of which Polyunsaturated,Sodium,Vitamin E,Iodine,Vitamin B6,Omega 3,Chloride,Vitamin A,Manganese,Vitamin K,Potassium,Iron,Zinc,Niacin,Folic Acid,Pantothenic Acid,Biotin,Magnesium,Selenium,Salt Equivalent,Copper,Polyunsaturates,Of which Polyols,Of which Trans,Of which Starch,Cholesterol
2474,68g,381kcal,4.1g,1.8g,3.5g,13g,1.3g,Peter's Yard Sourdough Crackers Selection,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,74g,484kcal,14g,2.3g,1.0g,12g,2.40g,Crosta & Mollica Crostini Chilli,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,56.2g,-515kcal,27.7g,4.0g,4.1g,7.7g,1.1g,Ines Rosales Tortas Sesame & Sea Salt,,5.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,42.1g,559kcal,37.5g,19.2g,1.4g,12.0g,1.62g,No.1 Gruyère & Rosemary Puffs,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,50.4g,365kcal,5.5g,0.9g,1.7g,21.6g,1.15g,Ryvita Protein Red Quinoa & Sesame,,13.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,54.4g,501kcal,25.7g,16.5g,5.3g,11.2g,1.80g,Waitrose Chive & Onion Twists,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,33.2g,637kcal,51.4g,27.0g,6.4g,9.3g,1.39g,"Arden's Cheese, Sour Cream & Chive Melts",,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,46g,450kcal,20g,5.9g,3.6g,17g,2.0g,Dr Karg cheese & pumpkin seed crispbreads,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,77g,369kcal,3.5g,1.4g,7.6g,11g,1.6g,Peter's Yard Pink Peppercorn Sourdough Crackers,,8.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,31g,456kcal,20g,3.5g,1.4g,34g,1.9g,Dr Karg's Pumpkin Seeds Protein Thins,,8.2g,,,,,,7.3g,,,,,1.2g,,,,,,,,,,,,,,,,,,,,
2484,77g,372kcal,3.8g,1.5g,7.8g,11g,1.5g,Peter's Yard Caraway Sourdough Crackers,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,49.2g,520kcal,31.0g,15.7g,2.5g,9.7g,3.5g,Rahms 24 mini croustades,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,18g,160,9g,1g,1g,2g,,IRosales Rosemary & Thyme Tortas,"8,9mg",1g,"0,1mcg",,,,,,50mg,,,,,,,,,45mg,"0,7mcg",,,,,,,,,,,,0g,,0mg
2487,8.0g,55kcal,1.8g,0.7g,0.4g,1.3g,0.18g,Nairn's Flatbread Caramelised Onion,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,69.8g,405kcal,6.9g,1.6g,3.2g,13.3g,1.2g,Van Der Meulen Sesame Melba Thins,,5.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,59.2g,491kcal,22.7g,13.1g,5.4g,11.3g,1.68g,Arden's Savoury Selection,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,66g,425kcal,11g,1.6g,2.0g,12g,1.00g,Crosta & Mollica Mini Grissini Flax & Amaranth Seeds,,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,57g,439kcal,15g,1.3g,2.7g,15g,1.2g,Thomas Fudge's Chickpea & Sesame Flatbreads,,7.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,68g,453kcal,15g,1.9g,1.9g,9.0g,2.2g,Thomas Fudge's Cheddar & Shallot Flatbreads,,4.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,75g,397kcal,5.5g,2.4g,2g,9.0g,1.25g,Bonn's & Co Water Cracker,,3.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,0.6g,232kcal,4.7g,2.3g,0.6g,57g,7.6g,Ember Original Biltong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,0.7g,666kcal,55.3g,19.6g,0.2g,41.4g,1.5g,Awfully Posh salt pork crackling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,4.3g,267kcal,3.9g,1.7g,0.6g,54g,6.8g,Ember Chilli Biltong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,3.4g,278kcal,5.2g,1.9g,1.7g,54.3g,4.9g,Cruga Biltong Original Beef,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,2.8g,2411kJ,45.7g,19.3g,<0.1g,38.7g,5.82g,Made for Drink Chorizo Thins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,22.5g,374kcal,19.5g,7.8g,22.2g,27.0g,2.85g,Kings Wagyu Beef Jerky,,<0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,5.6g,232kcal,5.9g,2.1g,4.7g,39.0g,4.69g,Kings Biltong,,<0.6g,,,,,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2.5g,256kcal,4.2g,1.8g,2.5g,52g,4.6g,Unearthed Biltong Beef,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,35.8g,288kcal,3.8g,1.5g,28.1g,27.4g,3.74g,Wild West Beef Jerky,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,0.7g,666kcal,55.3g,19.6g,0.2g,41.4g,1.5g,Awfully Posh Pork Crackling Sea Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,38.2g,320kcal,7.1g,1.1g,22.7g,22.5g,3.04g,Kings Veggie Jerky,,6.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,57g,534kcal,30g,18g,56g,7.3g,0.24g,Cadbury Dairy Milk,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,34g,566kcal,41g,24g,29g,"9,5g","0,10g",Lindt Excellence Dark Chocolate 70% Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,36g,580kcal,42g,25g,29g,9.1g,<0.01,Green & Black's Dark Chocolate 70% Cocoa,,10g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,24g,607kcal,50g,30g,14g,10g,0.12g,Green & Black's Dark Chocolate 85% Cocoa,,12g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,55.5g,495kcal,26.0g,14.5g,54.5g,8.3g,0.20g,Cadbury dairy milk fruit & nut,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,48g,561kcal,36g,22g,46g,9.8g,0.22g,Green & Black's Milk Chocolate,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,60g,524kcal,28g,17g,58g,4.1g,<0.01g,Cadbury bournville classic dark chocolate,,6.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,70g,494kcal,21g,13g,69g,4.2g,0.15g,Cadbury Mini Eggs Chocolate Eggs Bag,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,51g,508kcal,30g,18g,47g,6.0g,0.11g,Green & Black's Dark Chocolate Ginger,,7.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2514,39g,577kcal,40g,18g,37g,13g,0.18g,Green & Black's Milk Chocolate Almond,,3.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515,50g,529kcal,32g,20g,48g,6.2g,0.31g,Lindt Excellence Dark Sea Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516,49g,550kcal,35.5g,16.5g,48g,8.8g,0.20g,Cadbury dairy milk whole nut,,1.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517,51g,525kcal,31g,17g,48g,"6,2g","0,09g",Lindt Excellence Orange Intense Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,51g,567kcal,37g,23g,50g,"6,4g","0,28g",Lindt Excellence Milk Chocolate Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519,19g,584kcal,46g,28g,11g,"12,5g","0,02g",Lindt Excellence Dark Chocolate 85% Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2520,55g,507kcal,28g,17g,54g,"4,6g","0,37g",Lindt Excellence Dark Caramel with a Touch of Sea Salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521,14g,592kcal,55g,30g,"7,0g",10g,"0,03g",Lindt Excellence Dark Supreme 90% Cocoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522,51g,529kcal,32g,19g,49g,5g,"0,09g",Lindt Excellence Mint Intense Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2523,50g,554kcal,35g,21g,48g,8.8g,0.24g,Green & Black's Milk Chocolate Butterscotch,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,44g,623kcal,47g,35g,43g,4.9g,0.23g,Lindt Lindor Milk Chocolate Truffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525,47g,559kcal,36g,21g,45g,9.8g,0.69g,Green & Black's Milk Chocolate Sea Salt,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,42g,540kcal,36g,17g,38g,7.7g,0.10g,Green & Black's Dark Chocolate Hazelnut & Currant,,8.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,70g,494kcal,21g,13g,69g,4.2g,0.15g,Cadbury Mini Eggs Chocolate Eggs Carton,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2528,51g,581kcal,38g,23g,51g,7.9g,0.26g,Green & Blacks Chocolate White,,<0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529,73.9g,432kcal,13.4g,7.6g,66.4g,2.2g,<0.01g,Nestlé after eight mints,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530,59g,528kcal,29g,17g,58g,7.0g,0.26g,Cadbury 4 Twirl,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531,87.5g,431kcal,8.4g,4.9g,51.4g,1.0g,0.44g,Waitrose Mint Assortment,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2532,70.5g,484kcal,21.1g,12.3g,46.3g,2.6g,0.68g,Waitrose Chocolate Eclairs,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533,30.0g,547kcal,39.1g,22.8g,24.4g,10.6g,0.02g,Waitrose Belgian Dark Chocolate 72%,,16.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534,50g,538kcal,33g,20g,48g,6.1g,0.1g,Lindt Excellence Chilli Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535,57g,535kcal,30g,18g,56g,7.3g,0.24g,Cadbury dairy milk giant buttons,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536,50g,563kcal,35g,15g,48g,"9,0g","0,26g",Ritter Sport Honey Salt Almonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537,32.2g,584kcal,45.0g,28.3g,27.1g,6.7g,0.01g,Divine Fairtrade 70% Dark Chocolate with Raspberries,,11.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,59.5g,490kcal,25.5g,15g,49.5g,5.7g,0.35g,Cadbury dairy milk caramel,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539,63.4g,461kcal,20.1g,12.0g,59.8g,5.5g,0.13g,Waitrose Chocolate Coated Raisins,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540,32.2g,594kcal,46.3g,29.2g,27.0g,6.7g,0.02g,Divine Fairtrade 70% Dark Chocolate,,10.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541,62g,503kcal,25g,15g,53g,8.1g,0.42g,Maltesers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,34g,637kcal,52g,39g,32g,5.0g,0.05g,Lindt Lindor Extra Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543,36.7g,568kcal,41.8g,26.3g,30.5g,6.2g,0.01g,Divine Fairtrade 70% Dark Chocolate with Ginger & Orange,,10.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,39g,600kcal,45g,27g,32g,5.2g,0.50g,Green & Black's Velvet Edition Salted Caramel,,8.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,33g,619kcal,49g,29g,27g,6.1g,0.01g,Green & Black's Velvet Edition Mint,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,57g,534kcal,30g,18g,56g,7.3g,0.24g,Cadbury 4 Dairy Milk,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2547,22.3g,609kcal,50.8g,32.0g,13.7g,8.9g,0.02g,Divine Fairtrade 85% Dark Chocolate,,13.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2548,42g,573kcal,40g,13g,39g,8.0g,0.02g,Lindt Dark Chocolate Hazelnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,41g,630kcal,49g,36g,40g,4.7g,0.17g,Lindt Lindor Truffles Assorted Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,45.9g,510kcal,30.8g,15.6g,43.2g,7.7g,0.02g,Waitrose Belgian Dark Chocolate with Raisins and Almonds,,9.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2551,39g,577kcal,41g,16g,37g,"8,4g","0,01g",Ritter Sport Dark Whole Hazelnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552,40.8g,565kcal,39.1g,17.4g,35.7g,7.6g,0.0g,Waitrose Belgian Dark Chocolate with Hazelnuts,,9.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,33g,615kcal,48g,28g,27g,6.8g,<0.01g,Green & Black's Velvet Edition Orange & Almond,,9.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,44g,554kcal,37g,22g,38g,7.4g,0.12g,Green & Black's Maya Gold Dark Chocolate,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2555,56g,529kcal,30g,18g,51g,"5,4g","0,14g",Lindt Excellence Dark Honeycomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2556,43g,623kcal,47g,35g,42g,4.9g,0.48g,Lindt Lindor Salted Caramel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,43g,636kcal,49g,36g,41g,"4,7g","0,19g",Lindt Lindor Milk Chocolate Egg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2558,43.2g,531kcal,34.4g,21.7g,38.0g,6.7g,0.50g,Divine Dark Chocolate with Himalayan Salt,,10.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2559,64.9g,493kcal,23.7g,13.7g,49.1g,4.4g,0.41g,Fun Size family favourites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560,69g,498kcal,22g,13g,68g,5.3g,0.24g,Galaxy Minstrels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,56.7g,540kcal,31.6g,18.9g,55.4g,5.9g,0.11g,Waitrose Belgian Milk Chocolate,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2562,31.6g,373kcal,24.7g,13.6g,26.7g,5.8g,0.14g,Waitrose Chocolate Eclairs,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,73g,466kcal,17g,10g,65g,3.1g,0.71g,Cadbury Crunchie 4 Pack,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2564,46.1g,539kcal,34.3g,20.2g,42.5g,6.4g,0.01g,Waitrose Belgian Dark Chocolate 54%,,10.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2565,73g,440kcal,15g,9.3g,66.5g,3.2g,0.15g,Cadbury Creme Egg Chocolate Egg single,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2566,33g,619kcal,49g,30g,27g,6.1g,0.01g,Green & Black's Velvet Edition Dark Chocolate 70%,,9.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2567,62.5g,507kcal,25.1g,14.0g,52.8g,6.5g,0.23g,Nestlé KitKat Chunky,,2.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,33.4g,614kcal,48.4g,29.5g,29.4g,6.9g,0.0g,Waitrose DOrg Dark Choc,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2569,52.5g,550kcal,34.0g,21.0g,52.5g,7.3g,0.23g,Cadbury Wispa 4 Pack,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2570,69.3g,448kcal,16.7g,8.1g,59.9g,4.4g,0.42g,Mars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2571,60g,480kcal,24.5g,13.5g,46.5g,4.0g,0.38g,Cadbury Caramel Chocolate Egg single,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,54g,510kcal,28g,9.6g,45g,9.5g,0.45g,Snickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2573,3.7g,67kcal,5.5g,4.1g,3.5g,0.5g,0.001g,Booja-Booja Fine Truffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,67.1g,471kcal,20.5g,11.8g,58.2g,3.6g,0.21g,Quality Street,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,73g,440kcal,15g,9.3g,66.5g,3.2g,0.15g,Cadbury Creme Egg Chocolate Eggs 5 Pack,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2576,62.8g,426kcal,16.6g,10.0g,54.1g,3.6g,0.01g,Bendicks Bittermints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2577,35.5g,589kcal,41.7g,15.5g,31.6g,16.5g,0.10g,Waitrose Chocolate Coated Peanuts,,2.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2578,61g,510kcal,26.5g,16g,58.5g,6.2g,0.23g,Cadbury Dairy Milk marvellous creations popping candy shells,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2579,60g,521kcal,27g,16g,59g,7.4g,0.26g,Cadbury Flake 4 Pack,,2.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2580,70g,494kcal,21g,13g,69g,4.2g,0.15g,Cadbury Mini Eggs Chocolate Eggs Large Family Sharing Bag,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,68g,480kcal,21g,13g,64g,5.1g,0.31g,Revels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,57g,393kcal,15.5g,9.2g,48.5g,5.2g,0.15g,Mallow & Marsh Raspberry Marshmallows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2583,33.4g,585kcal,43.8g,26.6g,24.9g,9.1g,<0.01g,No.1 Madagascan Dark Chocolate 75%,,10.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2584,44g,587kcal,41g,13g,39g,8.3g,0.08g,Lindt milk chocolate hazelnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,59g,512kcal,26g,10g,54g,9.8g,0.09g,M&M's Pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2586,55.6g,492kcal,27.5g,22.3g,44.7g,3.6g,0.24g,Bounty dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2587,70g,494kcal,21g,13g,69g,4.2g,0.15g,Cadbury Mini Eggs Chocolate Eggs Tube,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,57g,534kcal,30g,18g,56g,7.3g,0.24g,Cadbury Dairy Milk 6 Little Bars,,2.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2589,52g,564kcal,36g,22g,50g,7.1g,0.31g,Lindt gold tiny bunny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2590,43g,599kcal,46g,32g,34g,6.3g,0.1g,Ombar Coco Mylk Bar,,,,,,,,,,,,,,,,1.1mg,,,,,,,,,,,,,,,,,
2591,67.7g,395kcal,12.3g,7.3g,58.8g,7.6g,0.16g,Mallow & Marsh Vanilla Marshmallows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,56.5g,530kcal,30.5g,18.5g,56g,7.5g,0.23g,Cadbury 6 freddo,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2593,14.5g,639kcal,56.5g,34.4g,3.4g,11.6g,0.01g,No.1 Ecuador Dark Chocolate 90%,,13.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2594,38.5g,568kcal,40.3g,24.4g,31.2g,8.3g,0.02g,No.1 Dark Chocolate with Ginger & Turmeric,,9.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2595,44g,622kcal,47g,35g,43g,4.9g,0.23g,Lindt Lindor Mint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2596,53g,580kcal,38g,24g,53g,6.6g,0.23g,Lindt Gold Bunny White Chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2597,45g,636kcal,49g,37g,44g,3.7g,0.20g,Lindt Lindor White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2598,62g,503kcal,25g,15g,53g,8.1g,0.42g,Maltesers Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,30g,631kcal,53g,31g,26g,6.2g,0.01g,Booja-Booja Hazelnut Crunch,,,,,,,,,4mg,,,,,,,,,,,,,,,,,,,,,,,,
2600,71.0g,430kcal,14.5g,8.7g,65.5g,2.2g,<0.01g,Fry's Chocolate Cream,,3.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2601,62.3g,502kcal,24.5g,13.5g,49.4g,7.0g,0.22g,Nestlé KitKat,,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2602,83.6g,337kcal,<0.5g,<0.1g,61.1g,<0.5g,0.27g,Waitrose Fruit Jellies,,0.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2603,80.5g,344kcal,<0.5g,0.1g,62.7g,5.0g,0.03g,Waitrose Jelly Babies,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2604,74.7g,454kcal,16.3g,8.1g,47.6g,1.9g,0.95g,Waitrose Dairy Toffee,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,96.2g,409kcal,2.4g,1.2g,55.5g,0.5g,0.13g,Waitrose Mint Humbugs,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2606,87g,280kcal,"7,7g","4,9g","<0,5g","0,2g","0,79g",Sulá mint humbugs,,"0,0g",,,,,,,,,,,,,,,,,,,,,,,,,,,,87g,,,
2607,86.3g,433kcal,9.5g,6.4g,50.1g,<0.5g,1.02g,Waitrose Butter Mintoes,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,97.0g,388kcal,0.0g,0.0g,97.0g,0.0g,0.03g,Waitrose Mint Crumbles,,0.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2609,96.9g,396kcal,0.5g,0.3g,68.6g,0.9g,0.01g,Waitrose Mint Imperials,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2610,62.1g,149kcal,0g,0g,0g,0g,0g,Wrigley's extra peppermint 60 pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1g,,,
2611,62.1g,149kcal,0g,0g,0g,0g,0g,Wrigley's Extra Peppermint 6 pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.1g,,,
2612,63.7g,153kcal,0g,0g,0g,0g,0g,Wrigley's extra spearmint 60 pieces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7g,,,
2613,80.5g,349kcal,<0.5g,0.2g,46.0g,5.5g,0.05g,Waitrose Wine Gums,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,74.2g,471kcal,18.6g,8.9g,48.2g,1.5g,0.78g,Waitrose Assorted Toffees,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2615,93.3g,410kcal,3.7g,1.9g,53.5g,0.6g,0.37g,Waitrose Fruit Sherbets,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2616,81.2g,376kcal,4.3g,3.0g,59.2g,2.3g,0.08g,Waitrose Liquorice Allsorts,,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,86.9g,424kcal,8.4g,5.7g,71.6g,0.3g,1.0g,Werthers original,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,89.6g,370kcal,1.1g,0.9g,48.1g,<0.5g,0.08g,Waitrose Sour Pastilles,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2619,77g,360kcal,4.4g,3.8g,62g,2.7g,0.09g,Bassetts liquorice allsorts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,74.9g,328kcal,1.5g,0.8g,57.6g,3.2g,0.47g,Henry Goode's Classic Liquorice,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2621,74g,363kcal,6.7g,3.8g,64g,1.2g,0.36g,Fry's Turkish Delight,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2622,87.0g,290kcal,8.8g,5.7g,<0.5g,0.2g,1.2g,Werther's original butter candies sugar free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,79.0g,329kcal,<0.5g,<0.1g,61.5g,2.9g,0.02g,Waitrose Pink & White Marshmallows,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,88g,283kcal,"7,8g","5,0g","<0,5g","0,2g","0,81g",Sulá butterscotch,,"0,0g",,,,,,,,,,,,,,,,,,,,,,,,,,,,88g,,,
2625,76g,329kcal,0.2g,0.2g,57g,4.8g,0.03g,Maynards wine gums,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2626,78g,330kcal,<0.1,<0.1,74g,3.5g,0.02g,Bassetts jelly babies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2627,98g,395kcal,<0.1g,0g,94g,0.3g,<0.01g,Trebor extra strong peppermint 7s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,83g,341kcal,0.1g,<0.1g,59g,0.8g,0.19g,Candy Kittens Sour Watermelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2629,92.2g,381kcal,1.2g,1.1g,52.7g,<0.5g,0.09g,Waitrose Fruit Pastilles,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
